index_number,country,shirt_number,fifa_name,date_birth,position,club,assists,appearances,minutes,appearances_per_assist,minutes_per_assist
1,Argentina,1,Nahuel GUZMAN,10.02.1986,GK,Tigres (MEX),0,0,0,0,0
2,Argentina,2,Gabriel MERCADO,18.03.1987,DF,Sevilla FC (ESP),6,91,7449,15.166666666666666,1241.5
3,Argentina,3,Nicolas TAGLIAFICO,31.08.1992,DF,Ajax (NED),5,65,5753,13.0,1150.6
4,Argentina,4,Cristian ANSALDI,20.09.1986,DF,Torino (ITA),5,51,3683,10.2,736.6
5,Argentina,5,Lucas BIGLIA,30.01.1986,MF,AC Milan (ITA),6,71,5559,11.833333333333334,926.5
6,Argentina,6,Federico FAZIO,17.03.1987,DF,AS Roma (ITA),3,93,7788,31.0,2596.0
7,Argentina,7,Ever BANEGA,29.06.1988,MF,Sevilla FC (ESP),13,83,5880,6.384615384615385,452.3076923076923
8,Argentina,8,Marcos ACUNA,28.10.1991,DF,Sporting CP (POR),20,91,6999,4.55,349.95
9,Argentina,9,Gonzalo HIGUAIN,10.12.1987,FW,Juventus (ITA),12,105,8363,8.75,696.9166666666666
10,Argentina,10,Lionel MESSI,24.06.1987,FW,FC Barcelona (ESP),36,106,8920,2.9444444444444446,247.77777777777777
11,Argentina,11,Angel DI MARIA,14.02.1988,MF,Paris Saint-Germain (FRA),27,88,6210,3.259259259259259,230.0
12,Argentina,12,Franco ARMANI,16.10.1986,GK,River Plate (ARG),0,0,0,0,0
13,Argentina,13,Maximiliano MEZA,15.12.1992,MF,Independiente (ARG),10,61,4197,6.1,419.7
14,Argentina,14,Javier MASCHERANO,08.06.1984,DF,Hebei Huabei (CHN),5,63,4881,12.6,976.2
15,Argentina,15,Manuel LANZINI,15.02.1993,MF,West Ham United (ENG),11,68,5182,6.181818181818182,471.09090909090907
16,Argentina,16,Marcos ROJO,20.03.1990,DF,Manchester United (ENG),2,53,4053,26.5,2026.5
17,Argentina,17,Nicolas OTAMENDI,12.02.1988,DF,Manchester City (ENG),3,89,7840,29.666666666666668,2613.3333333333335
18,Argentina,18,Eduardo SALVIO,13.07.1990,DF,Benfica (POR),16,76,5181,4.75,323.8125
19,Argentina,19,Sergio AGUERO,02.06.1988,FW,Manchester City (ENG),13,84,6436,6.461538461538462,495.0769230769231
